Name,Top,Mid,Bot
BTC_Face#62,none,round_glasses,beard
BTC_Face#43,none,pixel_sunglasses,mustache
BTC_Face#42,none,round_glasses,mustache
BTC_Face#5,headband,eyes,none
BTC_Face#16,fedora,pirate_eyepatch,none
BTC_Face#18,crown,round_glasses,none
BTC_Face#41,none,eyes,mustache
BTC_Face#39,crown,pixel_sunglasses,mouth
BTC_Face#6,headband,round_glasses,none
BTC_Face#92,headset,pirate_eyepatch,blusher
ETH_Face#54,fedora,round_glasses,mustache
ETH_Face#78,crown,round_glasses,beard
ETH_Face#16,fedora,pirate_eyepatch,none
ETH_Face#84,none,pirate_eyepatch,blusher
ETH_Face#42,none,round_glasses,mustache
ETH_Face#46,headband,round_glasses,mustache
ETH_Face#92,headset,pirate_eyepatch,blusher
ETH_Face#27,headband,pixel_sunglasses,mouth
ETH_Face#99,crown,pixel_sunglasses,blusher
ETH_Face#44,none,pirate_eyepatch,mustache
BNB_Face#54,fedora,round_glasses,mustache
BNB_Face#88,headband,pirate_eyepatch,blusher
BNB_Face#55,fedora,pixel_sunglasses,mustache
BNB_Face#96,fedora,pirate_eyepatch,blusher
BNB_Face#33,fedora,eyes,mouth
BNB_Face#20,crown,pirate_eyepatch,none
BNB_Face#27,headband,pixel_sunglasses,mouth
BNB_Face#61,none,eyes,beard
BNB_Face#56,fedora,pirate_eyepatch,mustache
BNB_Face#10,headset,round_glasses,none
USDT_Face#28,headband,pirate_eyepatch,mouth
USDT_Face#36,fedora,pirate_eyepatch,mouth
USDT_Face#37,crown,eyes,mouth
USDT_Face#93,fedora,eyes,blusher
USDT_Face#91,headset,pixel_sunglasses,blusher
USDT_Face#79,crown,pixel_sunglasses,beard
USDT_Face#77,crown,eyes,beard
USDT_Face#69,headset,eyes,beard
USDT_Face#47,headband,pixel_sunglasses,mustache
USDT_Face#54,fedora,round_glasses,mustache
SOL_Face#78,crown,round_glasses,beard
SOL_Face#12,headset,pirate_eyepatch,none
SOL_Face#60,crown,pirate_eyepatch,mustache
SOL_Face#23,none,pixel_sunglasses,mouth
SOL_Face#95,fedora,pixel_sunglasses,blusher
SOL_Face#24,none,pirate_eyepatch,mouth
SOL_Face#13,fedora,eyes,none
SOL_Face#93,fedora,eyes,blusher
SOL_Face#26,headband,round_glasses,mouth
SOL_Face#84,none,pirate_eyepatch,blusher
USDC_Face#30,headset,round_glasses,mouth
USDC_Face#53,fedora,eyes,mustache
USDC_Face#15,fedora,pixel_sunglasses,none
USDC_Face#86,headband,round_glasses,blusher
USDC_Face#80,crown,pirate_eyepatch,beard
USDC_Face#96,fedora,pirate_eyepatch,blusher
USDC_Face#4,none,pirate_eyepatch,none
USDC_Face#44,none,pirate_eyepatch,mustache
USDC_Face#12,headset,pirate_eyepatch,none
USDC_Face#99,crown,pixel_sunglasses,blusher
ADA_Face#8,headband,pirate_eyepatch,none
ADA_Face#54,fedora,round_glasses,mustache
ADA_Face#57,crown,eyes,mustache
ADA_Face#25,headband,eyes,mouth
ADA_Face#47,headband,pixel_sunglasses,mustache
ADA_Face#42,none,round_glasses,mustache
ADA_Face#23,none,pixel_sunglasses,mouth
ADA_Face#36,fedora,pirate_eyepatch,mouth
