Name,Top,Mid,Bot
BTC_Face#37,crown,eyes,mouth
BTC_Face#22,none,round_glasses,mouth
BTC_Face#84,none,pirate_eyepatch,blusher
BTC_Face#10,headset,round_glasses,none
BTC_Face#97,crown,eyes,blusher
BTC_Face#68,headband,pirate_eyepatch,beard
BTC_Face#65,headband,eyes,beard
BTC_Face#48,headband,pirate_eyepatch,mustache
BTC_Face#45,headband,eyes,mustache
ETH_Face#17,crown,eyes,none
ETH_Face#65,headband,eyes,beard
ETH_Face#80,crown,pirate_eyepatch,beard
ETH_Face#6,headband,round_glasses,none
ETH_Face#76,fedora,pirate_eyepatch,beard
ETH_Face#10,headset,round_glasses,none
ETH_Face#73,fedora,eyes,beard
ETH_Face#13,fedora,eyes,none
ETH_Face#38,crown,round_glasses,mouth
BNB_Face#35,fedora,pixel_sunglasses,mouth
BNB_Face#8,headband,pirate_eyepatch,none
BNB_Face#76,fedora,pirate_eyepatch,beard
BNB_Face#83,none,pixel_sunglasses,blusher
BNB_Face#44,none,pirate_eyepatch,mustache
BNB_Face#23,none,pixel_sunglasses,mouth
BNB_Face#73,fedora,eyes,beard
BNB_Face#16,fedora,pirate_eyepatch,none
BNB_Face#41,none,eyes,mustache
USDT_Face#42,none,round_glasses,mustache
USDT_Face#75,fedora,pixel_sunglasses,beard
USDT_Face#20,crown,pirate_eyepatch,none
USDT_Face#22,none,round_glasses,mouth
USDT_Face#1,none,eyes,none
USDT_Face#73,fedora,eyes,beard
USDT_Face#57,crown,eyes,mustache
USDT_Face#4,none,pirate_eyepatch,none
USDT_Face#25,headband,eyes,mouth
SOL_Face#59,crown,pixel_sunglasses,mustache
SOL_Face#10,headset,round_glasses,none
SOL_Face#51,headset,pixel_sunglasses,mustache
SOL_Face#73,fedora,eyes,beard
SOL_Face#88,headband,pirate_eyepatch,blusher
SOL_Face#2,none,round_glasses,none
SOL_Face#70,headset,round_glasses,beard
SOL_Face#56,fedora,pirate_eyepatch,mustache
SOL_Face#47,headband,pixel_sunglasses,mustache
USDC_Face#31,headset,pixel_sunglasses,mouth
USDC_Face#28,headband,pirate_eyepatch,mouth
USDC_Face#63,none,pixel_sunglasses,beard
USDC_Face#9,headset,eyes,none
USDC_Face#74,fedora,round_glasses,beard
USDC_Face#17,crown,eyes,none
USDC_Face#62,none,round_glasses,beard
USDC_Face#79,crown,pixel_sunglasses,beard
USDC_Face#100,crown,pirate_eyepatch,blusher
ADA_Face#76,fedora,pirate_eyepatch,beard
ADA_Face#2,none,round_glasses,none
ADA_Face#26,headband,round_glasses,mouth
ADA_Face#63,none,pixel_sunglasses,beard
ADA_Face#81,none,eyes,blusher
ADA_Face#80,crown,pirate_eyepatch,beard
ADA_Face#85,headband,eyes,blusher
ADA_Face#74,fedora,round_glasses,beard
