Name	Top	Mid	Bot
BTC_Face#38	crown	round_glasses	mouth
BTC_Face#82	none	round_glasses	blusher
BTC_Face#47	headband	pixel_sunglasses	mustache
BTC_Face#40	crown	pirate_eyepatch	mouth
BTC_Face#66	headband	round_glasses	beard
BTC_Face#59	crown	pixel_sunglasses	mustache
BTC_Face#13	fedora	eyes	none
BTC_Face#89	headset	eyes	blusher
BTC_Face#71	headset	pixel_sunglasses	beard
BTC_Face#88	headband	pirate_eyepatch	blusher
ETH_Face#29	headset	eyes	mouth
ETH_Face#12	headset	pirate_eyepatch	none
ETH_Face#19	crown	pixel_sunglasses	none
ETH_Face#21	none	eyes	mouth
ETH_Face#51	headset	pixel_sunglasses	mustache
ETH_Face#26	headband	round_glasses	mouth
ETH_Face#7	headband	pixel_sunglasses	none
ETH_Face#72	headset	pirate_eyepatch	beard
ETH_Face#77	crown	eyes	beard
ETH_Face#2	none	round_glasses	none
BNB_Face#68	headband	pirate_eyepatch	beard
BNB_Face#40	crown	pirate_eyepatch	mouth
BNB_Face#38	crown	round_glasses	mouth
BNB_Face#21	none	eyes	mouth
BNB_Face#32	headset	pirate_eyepatch	mouth
BNB_Face#64	none	pirate_eyepatch	beard
BNB_Face#48	headband	pirate_eyepatch	mustache
BNB_Face#86	headband	round_glasses	blusher
BNB_Face#94	fedora	round_glasses	blusher
BNB_Face#50	headset	round_glasses	mustache
USDT_Face#23	none	pixel_sunglasses	mouth
USDT_Face#82	none	round_glasses	blusher
USDT_Face#27	headband	pixel_sunglasses	mouth
USDT_Face#15	fedora	pixel_sunglasses	none
USDT_Face#40	crown	pirate_eyepatch	mouth
USDT_Face#45	headband	eyes	mustache
USDT_Face#21	none	eyes	mouth
USDT_Face#39	crown	pixel_sunglasses	mouth
USDT_Face#95	fedora	pixel_sunglasses	blusher
USDT_Face#11	headset	pixel_sunglasses	none
SOL_Face#1	none	eyes	none
SOL_Face#4	none	pirate_eyepatch	none
SOL_Face#53	fedora	eyes	mustache
SOL_Face#39	crown	pixel_sunglasses	mouth
SOL_Face#45	headband	eyes	mustache
SOL_Face#94	fedora	round_glasses	blusher
SOL_Face#37	crown	eyes	mouth
SOL_Face#58	crown	round_glasses	mustache
SOL_Face#91	headset	pixel_sunglasses	blusher
