name,top,mid,bot
BTC_Face#63,none,pixel_sunglasses,beard
BTC_Face#4,none,pirate_eyepatch,none
BTC_Face#72,headset,pirate_eyepatch,beard
BTC_Face#46,headband,round_glasses,mustache
BTC_Face#49,headset,eyes,mustache
BTC_Face#7,headband,pixel_sunglasses,none
BTC_Face#100,crown,pirate_eyepatch,blusher
BTC_Face#83,none,pixel_sunglasses,blusher
BTC_Face#77,crown,eyes,beard
BTC_Face#61,none,eyes,beard
ETH_Face#74,fedora,round_glasses,beard
ETH_Face#98,crown,round_glasses,blusher
ETH_Face#63,none,pixel_sunglasses,beard
ETH_Face#20,crown,pirate_eyepatch,none
ETH_Face#36,fedora,pirate_eyepatch,mouth
ETH_Face#95,fedora,pixel_sunglasses,blusher
ETH_Face#28,headband,pirate_eyepatch,mouth
ETH_Face#47,headband,pixel_sunglasses,mustache
ETH_Face#39,crown,pixel_sunglasses,mouth
ETH_Face#68,headband,pirate_eyepatch,beard
BNB_Face#12,headset,pirate_eyepatch,none
BNB_Face#85,headband,eyes,blusher
BNB_Face#45,headband,eyes,mustache
BNB_Face#74,fedora,round_glasses,beard
BNB_Face#6,headband,round_glasses,none
BNB_Face#26,headband,round_glasses,mouth
BNB_Face#78,crown,round_glasses,beard
BNB_Face#75,fedora,pixel_sunglasses,beard
BNB_Face#63,none,pixel_sunglasses,beard
BNB_Face#66,headband,round_glasses,beard
USDT_Face#13,fedora,eyes,none
USDT_Face#9,headset,eyes,none
USDT_Face#5,headband,eyes,none
USDT_Face#80,crown,pirate_eyepatch,beard
USDT_Face#87,headband,pixel_sunglasses,blusher
USDT_Face#18,crown,round_glasses,none
USDT_Face#66,headband,round_glasses,beard
USDT_Face#48,headband,pirate_eyepatch,mustache
USDT_Face#51,headset,pixel_sunglasses,mustache
USDT_Face#31,headset,pixel_sunglasses,mouth
SOL_Face#5,headband,eyes,none
SOL_Face#82,none,round_glasses,blusher
SOL_Face#77,crown,eyes,beard
SOL_Face#86,headband,round_glasses,blusher
SOL_Face#61,none,eyes,beard
SOL_Face#6,headband,round_glasses,none
SOL_Face#71,headset,pixel_sunglasses,beard
SOL_Face#72,headset,pirate_eyepatch,beard
SOL_Face#20,crown,pirate_eyepatch,none
SOL_Face#66,headband,round_glasses,beard
USDC_Face#57,crown,eyes,mustache
USDC_Face#23,none,pixel_sunglasses,mouth
USDC_Face#40,crown,pirate_eyepatch,mouth
USDC_Face#25,headband,eyes,mouth
USDC_Face#14,fedora,round_glasses,none
USDC_Face#64,none,pirate_eyepatch,beard
USDC_Face#72,headset,pirate_eyepatch,beard
USDC_Face#56,fedora,pirate_eyepatch,mustache
USDC_Face#88,headband,pirate_eyepatch,blusher
USDC_Face#7,headband,pixel_sunglasses,none
ADA_Face#30,headset,round_glasses,mouth
ADA_Face#68,headband,pirate_eyepatch,beard
ADA_Face#14,fedora,round_glasses,none
ADA_Face#98,crown,round_glasses,blusher
ADA_Face#55,fedora,pixel_sunglasses,mustache
ADA_Face#49,headset,eyes,mustache
ADA_Face#17,crown,eyes,none
ADA_Face#10,headset,round_glasses,none
ADA_Face#92,headset,pirate_eyepatch,blusher
ADA_Face#66,headband,round_glasses,beard
XRP_Face#3,none,pixel_sunglasses,none
XRP_Face#18,crown,round_glasses,none
XRP_Face#86,headband,round_glasses,blusher
XRP_Face#6,headband,round_glasses,none
XRP_Face#98,crown,round_glasses,blusher
XRP_Face#52,headset,pirate_eyepatch,mustache
XRP_Face#31,headset,pixel_sunglasses,mouth
XRP_Face#75,fedora,pixel_sunglasses,beard
XRP_Face#97,crown,eyes,blusher
XRP_Face#66,headband,round_glasses,beard
LUNA_Face#65,headband,eyes,beard
LUNA_Face#81,none,eyes,blusher
LUNA_Face#25,headband,eyes,mouth
LUNA_Face#71,headset,pixel_sunglasses,beard
LUNA_Face#93,fedora,eyes,blusher
LUNA_Face#17,crown,eyes,none
LUNA_Face#89,headset,eyes,blusher
LUNA_Face#20,crown,pirate_eyepatch,none
LUNA_Face#80,crown,pirate_eyepatch,beard
LUNA_Face#41,none,eyes,mustache
DOT_Face#32,headset,pirate_eyepatch,mouth
DOT_Face#49,headset,eyes,mustache
DOT_Face#79,crown,pixel_sunglasses,beard
DOT_Face#15,fedora,pixel_sunglasses,none
DOT_Face#37,crown,eyes,mouth
DOT_Face#52,headset,pirate_eyepatch,mustache
DOT_Face#87,headband,pixel_sunglasses,blusher
DOT_Face#62,none,round_glasses,beard
DOT_Face#56,fedora,pirate_eyepatch,mustache
DOT_Face#78,crown,round_glasses,beard
AVAX_Face#71,headset,pixel_sunglasses,beard
AVAX_Face#51,headset,pixel_sunglasses,mustache
AVAX_Face#45,headband,eyes,mustache
AVAX_Face#77,crown,eyes,beard
AVAX_Face#56,fedora,pirate_eyepatch,mustache
AVAX_Face#22,none,round_glasses,mouth
AVAX_Face#62,none,round_glasses,beard
AVAX_Face#7,headband,pixel_sunglasses,none
AVAX_Face#64,none,pirate_eyepatch,beard
AVAX_Face#43,none,pixel_sunglasses,mustache
DOGE_Face#37,crown,eyes,mouth
DOGE_Face#21,none,eyes,mouth
DOGE_Face#62,none,round_glasses,beard
DOGE_Face#61,none,eyes,beard
DOGE_Face#97,crown,eyes,blusher
DOGE_Face#3,none,pixel_sunglasses,none
DOGE_Face#12,headset,pirate_eyepatch,none
DOGE_Face#29,headset,eyes,mouth
DOGE_Face#10,headset,round_glasses,none
DOGE_Face#69,headset,eyes,beard
MATIC_Face#56,fedora,pirate_eyepatch,mustache
MATIC_Face#27,headband,pixel_sunglasses,mouth
MATIC_Face#55,fedora,pixel_sunglasses,mustache
MATIC_Face#20,crown,pirate_eyepatch,none
MATIC_Face#58,crown,round_glasses,mustache
MATIC_Face#47,headband,pixel_sunglasses,mustache
MATIC_Face#24,none,pirate_eyepatch,mouth
MATIC_Face#37,crown,eyes,mouth
